Year,Circuit,Type of Action,Pending at Start,Filed,Total Caseload,Terminated,Pending at End
2022,Third Circuit,Conservatorship/ Guardianship,21.0,15.0,36.0,2.0,34.0
2022,Third Circuit,Conservatorship,95.0,15.0,110.0,1.0,109.0
2022,Third Circuit,Guardianship,18.0,1.0,19.0,,19.0
2022,Third Circuit,Trust Proceedings,35.0,23.0,58.0,1.0,57.0
2022,Third Circuit,Miscellaneous Proceedings,129.0,60.0,189.0,7.0,182.0
2022,Third Circuit,Mechanic's and Materialmanâ€™s Lien,9.0,3.0,12.0,2.0,10.0
2022,Third Circuit,Other Special Proceedings,120.0,57.0,177.0,5.0,172.0
2022,Third Circuit,Criminal Actions,3532.0,1024.0,4556.0,1435.0,3121.0
2022,Third Circuit,Murder & Non-Negligent Manslaughter,51.0,16.0,67.0,20.0,47.0
2022,Third Circuit,Negligent Homicide,21.0,3.0,24.0,8.0,16.0
2022,Third Circuit,Sex Offenses,56.0,17.0,73.0,28.0,45.0
2022,Third Circuit,Robbery,72.0,20.0,92.0,28.0,64.0
2022,Third Circuit,Assault,222.0,95.0,317.0,104.0,213.0
2022,Third Circuit,Burglary and Trespass,656.0,179.0,835.0,267.0,568.0
2022,Third Circuit,Larceny-Theft,512.0,146.0,658.0,163.0,495.0
2022,Third Circuit,Arson,14.0,4.0,8.0,3.0,15.0
2022,Third Circuit,Forgery and Counterfeiting,38.0,5.0,43.0,6.0,37.0
2022,Third Circuit,Fraud,30.0,3.0,33.0,10.0,23.0
2022,Third Circuit,Vandalism,87.0,35.0,122.0,34.0,88.0
2022,Third Circuit,Weapons,139.0,48.0,187.0,53.0,134.0
2022,Third Circuit,Prostitution,,,,,
2022,Third Circuit,Controlled Substances,919.0,178.0,1097.0,309.0,788.0
2022,Third Circuit,Gambling,3.0,,3.0,2.0,1.0
2022,Third Circuit,Offenses Against Family & Children,81.0,27.0,108.0,22.0,86.0
2022,Third Circuit,Disorderly Conduct,81.0,32.0,113.0,50.0,63.0
2022,Third Circuit,OVUII,62.0,35.0,97.0,44.0,53.0
2022,Third Circuit,Traffic Offenses,48.0,11.0,59.0,35.0,24.0
2022,Third Circuit,Kidnapping and Custodial Interference,46.0,2.0,56.0,24.0,32.0
2022,Third Circuit,Terroristic Threatening,158.0,54.0,212.0,62.0,150.0
2022,Third Circuit,TRO Violation,24.0,16.0,40.0,18.0,22.0
2022,Third Circuit,Liquor Laws,2.0,,,,
2022,Third Circuit,Extortion,2.0,,2.0,,2.0
2022,Third Circuit,All Other Offenses,210.0,90.0,300.0,145.0,155.0
2022,Fifth Circuit,TOTAL CASES,3241.0,602.0,3843.0,494.0,3349.0
2022,Fifth Circuit,Civil Actions,451.0,134.0,585.0,102.0,483.0
2022,Fifth Circuit,Contract,51.0,17.0,68.0,16.0,52.0
2022,Fifth Circuit,Motor Vehicle Tort,37.0,13.0,50.0,15.0,35.0
2022,Fifth Circuit,Assault & Battery,2.0,2.0,4.0,4.0,4.0
2022,Fifth Circuit,Construction Defect,3.0,1.0,4.0,,4.0
2022,Fifth Circuit,Medical Malpractice,5.0,3.0,8.0,8.0,8.0
2022,Fifth Circuit,Legal Malpractice,,,,,
2022,Fifth Circuit,Product Liability,2.0,1.0,3.0,3.0,
2022,Fifth Circuit,Other Non-Vehicle Tort,64.0,16.0,80.0,14.0,66.0
2022,Fifth Circuit,Condemnation,3.0,,3.0,,3.0
2022,Fifth Circuit,Environment,3.0,,3.0,,3.0
2022,Fifth Circuit,Foreclosure,161.0,26.0,187.0,31.0,156.0
2022,Fifth Circuit,Agreement of Sale Foreclosure,,,,,
2022,Fifth Circuit,Agency Appeal,16.0,10.0,26.0,2.0,24.0
2022,Fifth Circuit,Declaratory Judgment,20.0,12.0,32.0,3.0,29.0
2022,Fifth Circuit,Civil Rights,,,,,
2022,Fifth Circuit,Partition/Real Property,1.0,,1.0,,1.0
2022,Fifth Circuit,Quiet Title,1.0,,1.0,,1.0
2022,Fifth Circuit,Other Civil Action,86.0,29.0,115.0,20.0,95.0
2022,Fifth Circuit,Probate Proceedings,856.0,112.0,968.0,6.0,962.0
2022,Fifth Circuit,Conservatorship/ Guardianship Proceedings,198.0,15.0,213.0,3.0,210.0
2022,Fifth Circuit,Conservatorship/ Guardianship,21.0,5.0,26.0,,26.0
2022,Fifth Circuit,Conservatorship,49.0,8.0,57.0,2.0,55.0
2022,Fifth Circuit,Guardianship,128.0,2.0,130.0,1.0,129.0
2022,Fifth Circuit,Trust Proceedings,54.0,10.0,64.0,,64.0
2022,Fifth Circuit,Miscellaneous Proceedings,422.0,39.0,461.0,4.0,457.0
2022,Fifth Circuit,Mechanic's and Materialmanâ€™s Lien,29.0,2.0,31.0,,31.0
2022,Fifth Circuit,Other Special Proceedings,393.0,37.0,430.0,4.0,426.0
2022,Fifth Circuit,Criminal Actions,1260.0,292.0,1552.0,379.0,1173.0
2022,Fifth Circuit,Murder & Non-Negligent Manslaughter,9.0,9.0,9.0,1.0,8.0
2022,Fifth Circuit,Negligent Homicide,16.0,1.0,17.0,5.0,12.0
2022,Fifth Circuit,Sex Offenses,41.0,9.0,50.0,8.0,42.0
2022,Fifth Circuit,Robbery,18.0,4.0,22.0,7.0,15.0
2022,Fifth Circuit,Assault,104.0,31.0,135.0,36.0,99.0
2022,Fifth Circuit,Burglary and Trespass,228.0,65.0,293.0,89.0,205.0
2022,Fifth Circuit,Larceny-Theft,160.0,24.0,184.0,47.0,137.0
2022,Fifth Circuit,Arson,3.0,2.0,5.0,3.0,3.0
2022,Fifth Circuit,Forgery and Counterfeiting,15.0,5.0,16.0,7.0,13.0
2022,Fifth Circuit,Fraud,17.0,17.0,17.0,1.0,16.0
2022,Fifth Circuit,Vandalism,29.0,13.0,42.0,12.0,30.0
2022,Fifth Circuit,Weapons,40.0,10.0,50.0,7.0,43.0
2022,Fifth Circuit,Prostitution,,,,,
2022,Fifth Circuit,Controlled Substances,272.0,59.0,331.0,72.0,259.0
2022,Fifth Circuit,Gambling,,,,,
2022,Fifth Circuit,Offenses Against Family & Children,98.0,11.0,109.0,32.0,77.0
2022,Fifth Circuit,Disorderly Conduct,48.0,7.0,55.0,15.0,40.0
2022,Fifth Circuit,OVUII,5.0,5.0,10.0,3.0,7.0
2022,Fifth Circuit,Traffic Offenses,40.0,11.0,41.0,2.0,39.0
2022,Fifth Circuit,Kidnapping and Custodial Interference,10.0,1.0,11.0,1.0,10.0
2022,Fifth Circuit,Terroristic Threatening,60.0,19.0,79.0,22.0,57.0
2022,Fifth Circuit,TRO Violation,4.0,3.0,7.0,3.0,7.0
2022,Fifth Circuit,Liquor Laws,,,,,
2022,Fifth Circuit,Extortion,1.0,,1.0,,1.0
2022,Fifth Circuit,All Other Offenses,43.0,25.0,68.0,16.0,52.0
2021,First Circuit,TOTAL CASES,44190.0,10787.0,54977.0,5315.0,49662.0
2021,First Circuit,Civil Actions,6949.0,1655.0,8604.0,2198.0,6406.0
2021,First Circuit,Contract,804.0,257.0,1061.0,371.0,690.0
2021,First Circuit,Motor Vehicle Tort,632.0,237.0,869.0,317.0,552.0
2021,First Circuit,Assault & Battery,34.0,7.0,41.0,13.0,28.0
2021,First Circuit,Construction Defect,25.0,1.0,26.0,6.0,20.0
2021,First Circuit,Medical Malpractice,92.0,19.0,111.0,26.0,85.0
2021,First Circuit,Legal Malpractice,14.0,4.0,18.0,6.0,12.0
2021,First Circuit,Product Liability,22.0,48.0,70.0,16.0,54.0
2021,First Circuit,Other Non-Vehicle Tort,709.0,216.0,925.0,294.0,631.0
2021,First Circuit,Condemnation,29.0,7.0,36.0,8.0,28.0
2021,First Circuit,Environment,8.0,4.0,12.0,1.0,1.0
2021,First Circuit,Foreclosure,3056.0,385.0,3441.0,534.0,2907.0
2021,First Circuit,Agreement of Sale Foreclosure,,,,,
2021,First Circuit,Agency Appeal,124.0,48.0,172.0,35.0,137.0
2021,First Circuit,Declaratory Judgment,204.0,50.0,254.0,90.0,164.0
2021,First Circuit,Civil Rights,4.0,3.0,7.0,1.0,6.0
2021,First Circuit,Partition/Real Property,21.0,21.0,42.0,9.0,33.0
2021,First Circuit,Quiet Title,5.0,7.0,12.0,,12.0
2021,First Circuit,Other Civil Action,1166.0,341.0,1507.0,471.0,1036.0
2021,First Circuit,Probate Proceedings,15065.0,886.0,15951.0,255.0,15696.0
2021,First Circuit,Conservatorship/ Guardianship Proceedings,4961.0,159.0,5120.0,232.0,4888.0
2021,First Circuit,Conservatorship/ Guardianship,321.0,67.0,388.0,49.0,339.0
2021,First Circuit,Conservatorship,1286.0,73.0,1359.0,156.0,1203.0
2021,First Circuit,Guardianship,3354.0,19.0,3373.0,27.0,3346.0
2021,First Circuit,Trust Proceedings,3012.0,246.0,3258.0,81.0,3177.0
2021,First Circuit,Miscellaneous Proceedings,6652.0,6261.0,12913.0,1423.0,11490.0
2021,First Circuit,Land Court,3545.0,5330.0,8875.0,1103.0,7772.0
2021,First Circuit,Tax Appeal Court,2152.0,562.0,2714.0,56.0,2658.0
2021,First Circuit,Mechanic's and Materialmanâ€™s Lien,149.0,19.0,168.0,29.0,139.0
2021,First Circuit,Other Special Proceedings,806.0,350.0,1156.0,235.0,921.0
2021,First Circuit,Criminal Actions,7551.0,1580.0,9131.0,1126.0,8005.0
2021,First Circuit,Murder & Non-Negligent Manslaughter,93.0,34.0,127.0,14.0,113.0
2021,First Circuit,Negligent Homicide,48.0,13.0,61.0,12.0,49.0
2021,First Circuit,Sex Offenses,175.0,50.0,225.0,21.0,204.0
2021,First Circuit,Robbery,391.0,92.0,483.0,54.0,429.0
2021,First Circuit,Assault,577.0,168.0,745.0,114.0,631.0
2021,First Circuit,Burglary and Trespass,1764.0,386.0,2150.0,231.0,1919.0
2021,First Circuit,Larceny-Theft,1297.0,151.0,1448.0,150.0,1298.0
2021,First Circuit,Arson,12.0,8.0,20.0,2.0,18.0
2021,First Circuit,Forgery and Counterfeiting,225.0,31.0,256.0,34.0,222.0
2021,First Circuit,Fraud,214.0,47.0,261.0,24.0,237.0
2021,First Circuit,Vandalism,168.0,34.0,202.0,24.0,178.0
2021,First Circuit,Weapons,99.0,26.0,125.0,14.0,111.0
2021,First Circuit,Prostitution,15.0,15.0,15.0,5.0,10.0
2021,First Circuit,Controlled Substances,1484.0,265.0,1749.0,240.0,1509.0
2021,First Circuit,Gambling,7.0,,7.0,,7.0
2021,First Circuit,Offenses Against Family & Children,59.0,12.0,71.0,14.0,57.0
2021,First Circuit,Disorderly Conduct,99.0,27.0,126.0,17.0,109.0
2021,First Circuit,OVUII,120.0,50.0,170.0,31.0,139.0
2021,First Circuit,Traffic Offenses,52.0,12.0,64.0,7.0,57.0
2021,First Circuit,Kidnapping and Custodial Interference,45.0,42.0,57.0,7.0,56.0
2021,First Circuit,Terroristic Threatening,369.0,64.0,433.0,53.0,380.0
2021,First Circuit,TRO Violation,23.0,13.0,36.0,4.0,32.0
2021,First Circuit,Liquor Laws,,,,1.0,4.0
2021,First Circuit,Extortion,5.0,,5.0,1.0,4.0
2021,First Circuit,All Other Offenses,210.0,85.0,295.0,59.0,236.0
2021,Second Circuit,TOTAL CASES,7940.0,1538.0,9478.0,4045.0,5433.0
2021,Second Circuit,Civil Actions,1311.0,381.0,1692.0,683.0,1009.0
2021,Second Circuit,Contract,139.0,47.0,186.0,80.0,106.0
2021,Second Circuit,Motor Vehicle Tort,127.0,62.0,189.0,80.0,109.0
2021,Second Circuit,Assault & Battery,4.0,1.0,5.0,1.0,4.0
2021,Second Circuit,Construction Defect,9.0,1.0,10.0,,10.0
2021,Second Circuit,Medical Malpractice,22.0,9.0,31.0,11.0,20.0
2021,Second Circuit,Legal Malpractice,2.0,,2.0,,2.0
2021,Second Circuit,Product Liability,3.0,6.0,9.0,3.0,6.0
2021,Second Circuit,Other Non-Vehicle Tort,168.0,72.0,240.0,102.0,138.0
2021,Second Circuit,Condemnation,2.0,,2.0,1.0,1.0
2021,Second Circuit,Environment,7.0,3.0,10.0,2.0,8.0
2021,Second Circuit,Foreclosure,540.0,66.0,606.0,237.0,369.0
2021,Second Circuit,Agreement of Sale Foreclosure,,,,,
2021,Second Circuit,Agency Appeal,26.0,21.0,47.0,20.0,27.0
2021,Second Circuit,Declaratory Judgment,31.0,13.0,44.0,22.0,22.0
2021,Second Circuit,Civil Rights,1.0,1.0,2.0,1.0,1.0
2021,Second Circuit,Partition/Real Property,5.0,4.0,9.0,3.0,6.0
2021,Second Circuit,Quiet Title,1.0,4.0,5.0,1.0,4.0
2021,Second Circuit,Other Civil Action,224.0,71.0,295.0,117.0,178.0
2021,Second Circuit,Probate Proceedings,2715.0,220.0,2935.0,1665.0,1270.0
2021,Second Circuit,Conservatorship/ Guardianship Proceedings,837.0,41.0,878.0,42.0,836.0
2021,Second Circuit,Conservatorship/ Guardianship,94.0,16.0,110.0,20.0,90.0
2021,Second Circuit,Conservatorship,354.0,24.0,378.0,8.0,370.0
2021,Second Circuit,Guardianship,389.0,1.0,390.0,14.0,376.0
2021,Second Circuit,Trust Proceedings,235.0,20.0,255.0,117.0,138.0
2021,Second Circuit,Miscellaneous Proceedings,572.0,66.0,638.0,439.0,199.0
2021,Second Circuit,Mechanicâ€™s and Materialmanâ€™s Lien,31.0,8.0,39.0,20.0,19.0
2021,Second Circuit,Other Special Proceedings,541.0,58.0,599.0,419.0,180.0
2021,Second Circuit,Criminal Actions,2270.0,810.0,3080.0,1099.0,1981.0
2021,Second Circuit,Murder & Non-Negligent Manslaughter,38.0,19.0,57.0,11.0,46.0
2021,Second Circuit,Negligent Homicide,17.0,4.0,21.0,7.0,14.0
2021,Second Circuit,Sex Offenses,27.0,14.0,41.0,14.0,27.0
2021,Second Circuit,Robbery,32.0,14.0,46.0,18.0,28.0
2021,Second Circuit,Assault,170.0,88.0,258.0,95.0,163.0
2021,Second Circuit,Burglary and Trespass,575.0,154.0,729.0,277.0,452.0
2021,Second Circuit,Larceny-Theft,407.0,47.0,454.0,162.0,292.0
2021,Second Circuit,Arson,6.0,2.0,8.0,4.0,4.0
2021,Second Circuit,Forgery and Counterfeiting,28.0,4.0,32.0,12.0,19.0
2021,Second Circuit,Fraud,43.0,13.0,46.0,20.0,26.0
2021,Second Circuit,Vandalism,35.0,13.0,48.0,17.0,31.0
2021,Second Circuit,Weapons,78.0,34.0,112.0,35.0,77.0
2021,Second Circuit,Prostitution,3.0,2.0,3.0,2.0,1.0
2021,Second Circuit,Controlled Substances,494.0,206.0,700.0,213.0,487.0
2021,Second Circuit,Gambling,6.0,,6.0,,6.0
2021,Second Circuit,Offenses Against Family & Children,23.0,28.0,51.0,20.0,31.0
2021,Second Circuit,Disorderly Conduct,28.0,11.0,39.0,16.0,23.0
2021,Second Circuit,OVUII,25.0,27.0,52.0,15.0,37.0
2021,Second Circuit,Traffic Offenses,23.0,32.0,32.0,8.0,16.0
2021,Second Circuit,Kidnapping and Custodial Interference,12.0,1.0,14.0,6.0,8.0
2021,Second Circuit,Terroristic Threatening,76.0,25.0,101.0,32.0,69.0
2021,Second Circuit,TRO Violation,2.0,1.0,3.0,1.0,2.0
2021,Second Circuit,Liquor Laws,2.0,1.0,3.0,1.0,3.0
2021,Second Circuit,Extortion,3.0,4.0,4.0,3.0,1.0
2021,Second Circuit,All Other Offenses,120.0,100.0,220.0,100.0,120.0
2021,Third Circuit,TOTAL CASES,9733.0,2143.0,11876.0,1451.0,10425.0
2021,Third Circuit,Civil Actions,2368.0,419.0,2787.0,486.0,2301.0
2021,Third Circuit,Contract,171.0,59.0,230.0,58.0,172.0
2021,Third Circuit,Motor Vehicle Tort,184.0,79.0,263.0,61.0,202.0
2021,Third Circuit,Assault & Battery,7.0,1.0,8.0,1.0,7.0
2021,Third Circuit,Construction Defect,2.0,1.0,3.0,3.0,
2021,Third Circuit,Medical Malpractice,15.0,6.0,21.0,3.0,18.0
2021,Third Circuit,Legal Malpractice,2.0,1.0,3.0,1.0,2.0
2021,Third Circuit,Product Liability,5.0,5.0,10.0,5.0,10.0
2021,Third Circuit,Other Non-Vehicle Tort,246.0,55.0,301.0,58.0,243.0
2021,Third Circuit,Condemnation,4.0,1.0,5.0,5.0,
2021,Third Circuit,Environment,9.0,1.0,10.0,5.0,5.0
2021,Third Circuit,Foreclosure,1281.0,83.0,1364.0,211.0,1153.0
2021,Third Circuit,Agreement of Sale Foreclosure,1.0,,1.0,1.0,
2021,Third Circuit,Agency Appeal,45.0,19.0,64.0,12.0,52.0
2021,Third Circuit,Declaratory Judgment,74.0,19.0,93.0,9.0,84.0
2021,Third Circuit,Civil Rights,,,,,
2021,Third Circuit,Partition/Real Property,8.0,7.0,15.0,2.0,13.0
2021,Third Circuit,Quiet Title,6.0,9.0,15.0,4.0,11.0
2021,Third Circuit,Other Civil Action,309.0,72.0,381.0,61.0,320.0
2021,Third Circuit,Probate Proceedings,2462.0,439.0,2901.0,30.0,2871.0
2021,Third Circuit,Conservatorship/ Guardianship Proceedings,922.0,44.0,966.0,2.0,964.0
2021,Third Circuit,Conservatorship/ Guardianship,86.0,10.0,96.0,1.0,95.0
2021,Third Circuit,Conservatorship,350.0,34.0,384.0,1.0,383.0
2021,Third Circuit,Guardianship,486.0,,486.0,,486.0
2021,Third Circuit,Trust Proceedings,174.0,20.0,194.0,1.0,193.0
2021,Third Circuit,Miscellaneous Proceedings,695.0,83.0,778.0,12.0,766.0
2021,Third Circuit,Mechanicâ€™s and Materialmanâ€™s Lien,73.0,8.0,81.0,5.0,76.0
2021,Third Circuit,Other Special Proceedings,622.0,75.0,697.0,7.0,690.0
2021,Third Circuit,Criminal Actions,3112.0,1138.0,4250.0,920.0,3330.0
