Year,Circuit,Type of Action,Pending at Start,Filed,Total Caseload,Terminated,Pending at End
2014,First Circuit,Civil Actions,7561.0,3005.0,10566.0,2752.0,7814.0
2014,First Circuit,Criminal Actions,7187.0,2180.0,9367.0,1948.0,7419.0
2014,Second Circuit,Civil Actions,2097.0,776.0,2873.0,1126.0,1747.0
2014,Second Circuit,Criminal Actions,1833.0,956.0,2789.0,835.0,1954.0
2014,Third Circuit,Civil Actions,2674.0,968.0,3642.0,1251.0,2391.0
2014,Third Circuit,Criminal Actions,2647.0,957.0,3604.0,750.0,2854.0
2015,Fifth Circuit,Civil Actions,1075.0,230.0,1305.0,84.0,1221.0
2015,Fifth Circuit,Criminal Actions,1541.0,436.0,1977.0,334.0,1643.0
2015,First Circuit,Civil Actions,7647.0,2449.0,10096.0,2569.0,7527.0
2015,First Circuit,Criminal Actions,6205.0,2088.0,8293.0,1928.0,6365.0
2015,Second Circuit,Civil Actions,1617.0,701.0,2318.0,944.0,1374.0
2015,Second Circuit,Criminal Actions,1938.0,970.0,2908.0,918.0,1990.0
2015,Third Circuit,Civil Actions,2328.0,937.0,3265.0,784.0,2481.0
2015,Third Circuit,Criminal Actions,2395.0,931.0,3326.0,949.0,2377.0
2016,Fifth Circuit,Civil Actions,982.0,194.0,1176.0,180.0,996.0
2016,Fifth Circuit,Criminal Actions,1486.0,481.0,1967.0,421.0,1546.0
2016,First Circuit,Civil Actions,7590.0,2455.0,10045.0,2376.0,7669.0
2016,First Circuit,Criminal Actions,5272.0,2163.0,7435.0,1910.0,5525.0
2016,Second Circuit,Civil Actions,1338.0,667.0,2005.0,725.0,1280.0
2016,Second Circuit,Criminal Actions,1990.0,1166.0,3156.0,1096.0,2060.0
2016,Third Circuit,Civil Actions,2172.0,865.0,3037.0,769.0,2268.0
2016,Third Circuit,Criminal Actions,2210.0,892.0,3102.0,898.0,2204.0
2017,Fifth Circuit,Civil Actions,942.0,211.0,1153.0,170.0,983.0
2017,Fifth Circuit,Criminal Actions,891.0,487.0,1378.0,424.0,954.0
2017,First Circuit,Civil Actions,7591.0,2148.0,9739.0,2331.0,7408.0
2017,First Circuit,Criminal Actions,8592.0,1992.0,10584.0,1699.0,8885.0
2017,Second Circuit,Civil Actions,1286.0,532.0,1818.0,628.0,1190.0
2017,Second Circuit,Criminal Actions,1700.0,1018.0,2718.0,875.0,1843.0
2017,Third Circuit,Civil Actions,1286.0,532.0,1818.0,628.0,1190.0
2017,Third Circuit,Criminal Actions,1700.0,1018.0,2718.0,875.0,1843.0
2018,Fifth Circuit,Civil Actions,662.0,145.0,807.0,296.0,511.0
2018,Fifth Circuit,Criminal Actions,1076.0,403.0,1479.0,328.0,1151.0
2018,First Circuit,Civil Actions,6718.0,1983.0,8701.0,2222.0,6479.0
2018,First Circuit,Criminal Actions,5929.0,2105.0,9457.0,3624.0,6409.0
2018,Second Circuit,Civil Actions,1097.0,531.0,1628.0,502.0,1126.0
2018,Second Circuit,Criminal Actions,3279.0,1046.0,4325.0,936.0,3389.0
2018,Third Circuit,Civil Actions,1999.0,651.0,2650.0,752.0,1898.0
2018,Third Circuit,Criminal Actions,2465.0,1010.0,3475.0,827.0,2648.0
2019,Fifth Circuit,Civil Actions,396.0,199.0,595.0,246.0,349.0
2019,Fifth Circuit,Criminal Actions,1298.0,402.0,1700.0,313.0,1387.0
2019,First Circuit,Civil Actions,6700.0,2085.0,8785.0,2274.0,6511.0
2019,First Circuit,Criminal Actions,7419.0,2038.0,9457.0,1048.0,8409.0
2019,Second Circuit,Civil Actions,1124.0,443.0,1567.0,571.0,996.0
2019,Second Circuit,Criminal Actions,2640.0,892.0,3532.0,1534.0,1998.0
2019,Third Circuit,Civil Actions,1891.0,607.0,2498.0,673.0,1825.0
2019,Third Circuit,Criminal Actions,2439.0,983.0,3422.0,794.0,2628.0
2020,Fifth Circuit,Civil Actions,524.0,153.0,677.0,289.0,388.0
2020,Fifth Circuit,Criminal Actions,1235.0,325.0,1560.0,436.0,1124.0
2020,First Circuit,Civil Actions,6430.0,1995.0,8425.0,2045.0,6380.0
2020,First Circuit,Criminal Actions,8041.0,1792.0,9833.0,1535.0,8298.0
2020,Second Circuit,Civil Actions,1211.0,397.0,1608.0,480.0,1128.0
2020,Second Circuit,Criminal Actions,2328.0,748.0,3076.0,1126.0,1950.0
2020,Third Circuit,Civil Actions,1987.0,574.0,2561.0,575.0,1986.0
2020,Third Circuit,Criminal Actions,2467.0,1194.0,3661.0,670.0,2991.0
2021,Fifth Circuit,Civil Actions,451.0,134.0,585.0,102.0,483.0
2021,Fifth Circuit,Criminal Actions,1260.0,292.0,1552.0,379.0,1173.0
2021,First Circuit,Civil Actions,6949.0,1655.0,8604.0,2198.0,6406.0
2021,First Circuit,Criminal Actions,7551.0,1580.0,9131.0,1126.0,8005.0
2021,Second Circuit,Civil Actions,1311.0,381.0,1692.0,683.0,1009.0
2021,Second Circuit,Criminal Actions,2270.0,810.0,3080.0,1099.0,1981.0
2021,Third Circuit,Civil Actions,2368.0,419.0,2787.0,486.0,2301.0
2021,Third Circuit,Criminal Actions,3112.0,1138.0,4250.0,920.0,3330.0
2022,Fifth Circuit,Civil Actions,451.0,134.0,585.0,102.0,483.0
2022,Fifth Circuit,Criminal Actions,1260.0,292.0,1552.0,379.0,1173.0
2022,First Circuit,Civil Actions,5927.0,1528.0,7455.0,2646.0,4809.0
2022,First Circuit,Criminal Actions,7976.0,1746.0,9722.0,1516.0,8206.0
2022,Second Circuit,Civil Actions,1019.0,380.0,1399.0,370.0,1029.0
2022,Second Circuit,Criminal Actions,2099.0,814.0,2913.0,765.0,2148.0
2022,Third Circuit,Civil Actions,2541.0,380.0,2921.0,1587.0,1334.0
2022,Third Circuit,Criminal Actions,3532.0,1024.0,4556.0,1435.0,3121.0
2023,Fifth Circuit,Civil Actions,301.0,128.0,429.0,103.0,326.0
2023,Fifth Circuit,Criminal Actions,865.0,248.0,1113.0,349.0,764.0
2023,First Circuit,Civil Actions,4389.0,1750.0,6139.0,1646.0,4493.0
2023,First Circuit,Criminal Actions,7289.0,1673.0,8962.0,1405.0,7557.0
2023,Second Circuit,Civil Actions,909.0,324.0,1223.0,380.0,853.0
2023,Second Circuit,Criminal Actions,1967.0,634.0,2601.0,721.0,1880.0
2023,Third Circuit,Civil Actions,1471.0,490.0,1961.0,746.0,1215.0
2023,Third Circuit,Criminal Actions,2656.0,1081.0,3737.0,1114.0,2623.0
1998,COA,Civil,582.0,497.0,1079.0,732.0,347.0
1998,COA,Criminal,329.0,297.0,626.0,375.0,251.0
1998,COA,Motions,48.0,3272.0,3320.0,3248.0,72.0
1998,COA,Original Proceedings,13.0,67.0,80.0,64.0,16.0
1998,COA,Total Appeals,911.0,794.0,1705.0,1107.0,598.0
1999,COA,Civil,347.0,510.0,857.0,526.0,331.0
1999,COA,Criminal,251.0,342.0,593.0,332.0,261.0
1999,COA,Motions,90.0,3167.0,3257.0,3204.0,53.0
1999,COA,Original Proceedings,16.0,107.0,123.0,105.0,18.0
1999,COA,Total Appeals,598.0,852.0,1450.0,858.0,592.0
2000,COA,Civil,331.0,454.0,785.0,386.0,399.0
2000,COA,Criminal,261.0,364.0,625.0,281.0,344.0
2000,COA,Motions,53.0,2906.0,2959.0,2901.0,58.0
2000,COA,Original Proceedings,18.0,67.0,85.0,71.0,14.0
2000,COA,Total Appeals,592.0,818.0,1410.0,667.0,743.0
2001,COA,Civil,399.0,483.0,882.0,347.0,535.0
2001,COA,Criminal,344.0,283.0,627.0,254.0,373.0
2001,COA,Motions,58.0,2668.0,2726.0,2655.0,71.0
2001,COA,Original Proceedings,14.0,64.0,78.0,61.0,17.0
2001,COA,Total Appeals,743.0,766.0,1509.0,601.0,908.0
2002,COA,Civil,535.0,456.0,991.0,376.0,615.0
2002,COA,Criminal,373.0,301.0,674.0,280.0,394.0
2002,COA,Motions,71.0,2725.0,2796.0,2722.0,74.0
2002,COA,Original Proceedings,17.0,64.0,81.0,68.0,13.0
2002,COA,Total Appeals,908.0,757.0,1665.0,656.0,1009.0
2003,COA,Civil,615.0,415.0,1030.0,396.0,634.0
2003,COA,Criminal,394.0,245.0,639.0,248.0,391.0
2003,COA,Motions,74.0,2573.0,2647.0,2604.0,43.0
2003,COA,Original Proceedings,13.0,71.0,84.0,59.0,25.0
2003,COA,Total Appeals,1009.0,660.0,1669.0,644.0,1025.0
2004,COA,Civil,634.0,425.0,1059.0,460.0,599.0
2004,COA,Criminal,391.0,237.0,628.0,271.0,357.0
2004,COA,Motions,43.0,2955.0,2998.0,2952.0,46.0
2004,COA,Original Proceedings,25.0,74.0,99.0,83.0,16.0
2004,COA,Total Appeals,1025.0,662.0,1687.0,731.0,956.0
2005,COA,Civil,599.0,425.0,1024.0,422.0,602.0
2005,COA,Criminal,357.0,243.0,600.0,273.0,327.0
2005,COA,Motions,46.0,3026.0,3072.0,3035.0,37.0
2005,COA,Original Proceedings,16.0,55.0,71.0,58.0,13.0
2005,COA,Total Appeals,956.0,668.0,1624.0,695.0,929.0
2006,COA,Civil,601.0,348.0,949.0,446.0,503.0
2006,COA,Criminal,328.0,240.0,568.0,268.0,300.0
